#,Arrival,Service Start,Service End,Drop Time,# Items,Card,Wait Time,Service Time
1,3:35:46,3:44:35,3:50:43,0,54,1,08:49.0,06:08.0
2,3:36:30,3:51:51,3:55:19,0,35,0,15:21.0,03:28.0
3,3:38:50,3:55:32,3:57:30,0,7,0,16:42.0,01:58.0
4,3:43:40,0,0,3:44:49,0,0,01:09.0,00:00.0
5,3:45:10,3:57:50,3:58:39,0,3,1,12:40.0,00:49.0
6,3:47:13,3:58:50,4:00:04,0,12,0,11:37.0,01:14.0
7,3:47:53,4:01:02,4:02:13,0,20,0,13:09.0,01:11.0
8,3:51:10,0,0,3:54:49,0,0,03:39.0,00:00.0
9,3:55:05,4:02:13,4:09:28,0,74,1,07:08.0,07:15.0
10,3:56:40,4:12:07,4:15:39,0,23,0,15:27.0,03:32.0
11,4:01:54,4:15:39,4:16:16,0,12,0,13:45.0,00:37.0
